id;start_date;end_date;language
1;2020-10-26T06:55:46;2020-10-26T04:46:01;SPANISH
2;2020-10-25T11:45:57;2020-10-26T06:50:22;SPANISH
3;2020-10-26T02:41:16;2020-10-25T13:15:25;FRENCH
4;2020-10-25T17:58:47;2020-10-26T05:30:13;FRENCH
5;2020-10-26T03:29:05;2020-10-26T08:16:04;FRENCH
6;2020-10-25T21:21:26;2020-10-26T09:29:40;FRENCH
7;2020-10-25T23:06:46;2020-10-25T16:57:37;FRENCH
8;2020-10-25T22:02:59;2020-10-26T08:19:07;SPANISH
9;2020-10-25T20:44:08;2020-10-25T17:25:31;SPANISH
10;2020-10-26T04:56:12;2020-10-25T15:30:42;SPANISH
